campaign,channel,source,medium,content,destination,url,ga4-channel,use-case
bridal-2027-booking,Instagram organic,instagram,social,link-in-bio,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=instagram&utm_medium=social&utm_campaign=bridal-2027-booking&utm_content=link-in-bio,Organic Social,Instagram profile link in bio
bridal-2027-booking,Instagram paid,instagram,paid-social,carousel-ad-1,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=instagram&utm_medium=paid-social&utm_campaign=bridal-2027-booking&utm_content=carousel-ad-1,Paid Social,Meta carousel ad variant 1
bridal-2027-booking,Facebook paid,facebook,paid-social,carousel-ad-1,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=facebook&utm_medium=paid-social&utm_campaign=bridal-2027-booking&utm_content=carousel-ad-1,Paid Social,Meta carousel ad variant 1 (FB placement)
bridal-2027-booking,WeChat paid,wechat,paid-social,ad-zh-1,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=wechat&utm_medium=paid-social&utm_campaign=bridal-2027-booking&utm_content=ad-zh-1,Unassigned (add custom channel),Hiezy WeChat ad bilingual variant
bridal-2027-booking,Email,newsletter,email,welcome-4,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=newsletter&utm_medium=email&utm_campaign=bridal-2027-booking&utm_content=welcome-4,Email,Welcome sequence email 4 soft offer
bridal-2027-booking,Instagram organic,instagram,social,reel-cta,contact page,https://www.veramakeupvan.com/contact/?utm_source=instagram&utm_medium=social&utm_campaign=bridal-2027-booking&utm_content=reel-cta,Organic Social,Reel caption CTA link
bridal-2027-booking,Pinterest,pinterest,social,pin-1,bridal page,https://www.veramakeupvan.com/services/bridal-makeup/?utm_source=pinterest&utm_medium=social&utm_campaign=bridal-2027-booking&utm_content=pin-1,Organic Social,Pinterest pin to bridal page
fall-weddings-2026,WeChat paid,wechat,paid-social,fall-promo-zh,event page,https://www.veramakeupvan.com/services/event-makeup/?utm_source=wechat&utm_medium=paid-social&utm_campaign=fall-weddings-2026&utm_content=fall-promo-zh,Unassigned (add custom channel),Fall 2026 fill promo (bilingual)
fall-weddings-2026,Instagram organic,instagram,social,story-cta,event page,https://www.veramakeupvan.com/services/event-makeup/?utm_source=instagram&utm_medium=social&utm_campaign=fall-weddings-2026&utm_content=story-cta,Organic Social,IG story CTA for fall dates
lessons-vancouver-2026,Instagram organic,instagram,social,reel-tutorial,lessons page,https://www.veramakeupvan.com/services/makeup-lessons/?utm_source=instagram&utm_medium=social&utm_campaign=lessons-vancouver-2026&utm_content=reel-tutorial,Organic Social,Tutorial reel CTA to lessons
lessons-vancouver-2026,Email,newsletter,email,newsletter-2,lessons page,https://www.veramakeupvan.com/services/makeup-lessons/?utm_source=newsletter&utm_medium=email&utm_campaign=lessons-vancouver-2026&utm_content=newsletter-2,Email,Newsletter issue 2 lessons feature
holiday-events-2026,WeChat paid,wechat,paid-social,holiday-party-zh,event page,https://www.veramakeupvan.com/services/event-makeup/?utm_source=wechat&utm_medium=paid-social&utm_campaign=holiday-events-2026&utm_content=holiday-party-zh,Unassigned (add custom channel),Holiday party promo (bilingual)
holiday-events-2026,Instagram paid,instagram,paid-social,holiday-ad-1,event page,https://www.veramakeupvan.com/services/event-makeup/?utm_source=instagram&utm_medium=paid-social&utm_campaign=holiday-events-2026&utm_content=holiday-ad-1,Paid Social,Holiday event makeup ad
evergreen,QR code,qr,offline,business-card,homepage,https://www.veramakeupvan.com/?utm_source=qr&utm_medium=offline&utm_campaign=evergreen&utm_content=business-card,Unassigned (expected for offline),QR code on business cards
evergreen,QR code,qr,offline,studio-sign,lessons page,https://www.veramakeupvan.com/services/makeup-lessons/?utm_source=qr&utm_medium=offline&utm_campaign=evergreen&utm_content=studio-sign,Unassigned (expected for offline),QR code on studio signage
evergreen,Google Business Profile,google,organic,gbp-listing,homepage,https://www.veramakeupvan.com/?utm_source=google&utm_medium=organic&utm_campaign=evergreen&utm_content=gbp-listing,Organic Search,GBP website link
